Water/Coffee Ratio,T,Acidity,Bitterness
10,84,0.621696112,0.466931561
10,84,0.634142758,0.456673847
10,84,0.643587491,0.489394651
10,85,0.611422699,0.464872571
10,85,0.588123661,0.442772384
10,85,0.213535367,0.232775375
10,86,0.585249196,0.417621535
10,86,0.734882026,0.448245778
10,86,0.614833257,0.516181687
10,87,0.568552111,0.429670912
10,87,0.580631109,0.392293591
10,87,0.601626815,0.382777197
10,88,0.523639312,0.271687289
10,88,0.531966583,0.331557222
10,88,0.566437531,0.332644006
10,89,0.561135923,0.288782821
10,89,0.537365831,0.275183235
10,89,0.504540723,0.235679241
10,90,0.545558175,0.244599605
10,90,0.490455937,0.287411271
10,90,0.489000633,0.24877316
10,91,0.485115829,0.270236232
10,91,0.455745767,0.243652223
10,91,0.462344129,0.250830307
10,92,0.38379605,0.21408865
10,92,0.413315158,0.20846401
10,92,0.435779279,0.252928266
10,93,0.376097175,0.197148636
10,93,0.334428412,0.18312724
10,93,0.537697058,0.400445664
10,93,0.556117577,0.438469897
10,93,0.528539833,0.220051342
10,94,0.385165138,0.329847575
10,94,0.337279604,0.176727566
10,94,0.369704818,0.196869958
10,94,0.597647424,0.502697114
10,94,0.60421212,0.536568423
12,84,0.58806861,0.445324246
12,84,0.656372637,0.417439776
12,84,0.557483845,0.422530489
12,84,0.113338133,0.034640852
12,84,0.114750432,0.029288966
12,85,0.102773667,0.026158096
12,85,0.655879258,0.432779985
12,85,0.110069368,0.027665374
12,85,0.67447955,0.459773393
12,85,0.650172915,0.436591923
12,85,0.122342116,0.035703768
12,86,0.107152965,0.024911178
12,86,0.308189304,0.228886613
12,86,0.109653155,0.111920657
12,86,0.105055521,0.028413982
12,86,0.266813394,0.343431128
12,86,0.608865781,0.43273159
12,87,0.148172962,0.042185498
12,87,0.125027721,0.032103197
12,87,0.11254892,0.029394911
12,87,0.263210168,0.134218257
12,87,0.344712556,0.211280317
12,87,0.295240272,0.164812795
12,88,0.30841844,0.134150027
12,88,0.109734799,0.022351188
