Coffee/WaterRatio,Temperature,L-Malic acid,Trigonelline,Pyrogallol,Cinnamic acid,Citric acid,Quinic acid,Fructose,Glucose,Ferulic acid,Caffeic acid,Sucrose,Lactose,Maltose,Chlorogenic acid,Caffeine
10,84,0.066993434,0.028199587,0.032291612,0.000339593,0.699174783,2.604002148,0.002278617,0.000288103,0.000604148,0.028199587,0.04714306,0.009246586,0.000179451,1.126589755,0.458012936
10,84,0.074523697,0.028494293,0.028953622,0.000354705,0.895156595,2.359808671,0.001998456,0.000263559,0.000654047,0.028494293,0.045191924,0.00845879,0.000183166,1.071196176,0.458283948
10,84,0.074836077,0.027686044,0.027537331,0.000361298,0.969021141,2.422674399,0.001748462,0.000235406,0.000654171,0.027686044,0.043248048,0.008735773,0.000186401,1.026578947,0.736891325
10,85,0.069638519,0.024801498,0.025455283,0.000318071,0.768282119,2.535466278,0.001591247,0.000228343,0.000589916,0.024801498,0.043079187,0.008385403,0.000157521,1.016928035,0.693812261
10,85,0.077069486,0.022782771,0.023172391,0.000320697,0.783524693,2.305260578,0.001314884,0.00018924,0.000613054,0.022782771,0.040037748,0.007594544,0.000161408,0.917850722,0.752430066
10,85,0.003378511,0.021958022,0.027331179,0.000224338,0.000901201,2.268850467,0.000385332,0.00023855,0.000327514,0.021958022,0.038807701,0.00964603,9.29E-05,0.132247332,0.528542799
10,86,0.072572295,0.02065344,0.019900625,0.00024884,0.691039702,2.320017113,0.000968232,0.000154579,0.000484414,0.02065344,0.037447195,0.007637758,0.000116808,1.014323126,0.545668186
10,86,0.067156498,0.027681468,0.025490657,0.000263766,1.025412063,2.792804221,0.000807255,0.000213858,0.000591177,0.027681468,0.041264839,0.009339766,0.000117631,1.380545133,0.037102198
10,86,0.069605461,0.032391662,0.024623096,0.000265281,0.502111739,2.826515835,0.001049186,0.000211476,0.000728485,0.032391662,0.040273882,0.008857561,0.000163936,1.142300883,0.599930917
10,87,0.065136987,0.018640899,0.019735256,0.000223601,0.401286519,2.634421039,0.000775005,0.00016836,0.000417624,0.018640899,0.040220475,0.008867077,0.000109181,1.097234837,0.575235529
10,87,0.067312175,0.016983912,0.018049855,0.000213332,0.539505245,2.517522343,0.000766076,0.000148737,0.000371247,0.016983912,0.037877678,0.008763225,0.000136304,1.07670132,0.430302126
10,87,0.067588379,0.014065372,0.017142653,0.000200393,0.511207828,2.731588382,0.000605424,0.00013365,0.000342272,0.014065372,0.039924407,0.009262653,0.000105692,1.119759934,0.410555456
10,88,0.063736982,0.008142206,0.009606779,0.000145799,0.582079123,2.361680299,0.000373863,7.06E-05,0.000257217,0.008142206,0.023896482,0.006768264,9.11E-05,0.819090068,0.318535704
10,88,0.058771618,0.009123619,0.01152162,0.000166124,0.430898597,2.550077683,0.000474407,8.73E-05,0.000248979,0.009123619,0.027666633,0.007875327,0.000101848,0.955492222,0.470975849
10,88,0.061446207,0.009898565,0.011164304,0.000141322,0.544533031,2.594069281,0.000445805,8.02E-05,0.00027646,0.009898565,0.035792857,0.007529664,9.75E-05,1.005002546,0.38949313
10,89,0.060207128,0.007200364,0.008734833,0.000133142,0.616508745,2.542480038,0.0003181,6.65E-05,0.00021603,0.007200364,0.022539564,0.007447105,0.000105141,0.944238584,0.290276552
10,89,0.057771647,0.006619668,0.007923225,0.000130529,0.553454051,2.425331883,0.000303878,5.88E-05,0.00019913,0.006619668,0.032904206,0.007956643,0.00012799,0.940791101,0.231683858
10,89,1.00E-04,0.006110118,0.007337254,0.000121122,0.881938454,2.474605839,0.000355335,5.23E-05,0.000182495,0.006110118,0.026272017,0.008236124,8.39E-05,0.904839909,0.057456357
10,90,0.065106391,0.004265846,0.005126223,0.000105547,0.735103461,2.183552963,0.00025989,3.41E-05,0.000174785,0.004265846,0.014808969,0.006835818,9.76E-05,0.874893935,0.207611185
10,90,0.039335408,0.00538567,0.007552299,9.99E-05,0.020612875,2.909013494,0.000294006,5.94E-05,0.000123698,0.00538567,0.0328097,0.010842979,7.87E-05,1.084043456,0.160338919
10,90,0.052113442,0.004554347,0.005767727,0.000108203,0.401027171,2.32211948,0.000326816,4.16E-05,0.00015935,0.004554347,0.017671002,0.007151976,0.000100641,0.899365018,0.192094023
10,91,0.039181574,0.004162001,0.005691228,6.54E-05,0.03001497,2.811881583,0.000232346,3.83E-05,0.000113306,0.004162001,0.035111496,0.009820647,6.90E-05,1.091288513,0.086998144
10,91,0.034019746,0.003415985,0.004816925,6.87E-05,0.06537655,2.751459364,0.000279581,3.18E-05,9.75E-05,0.003415985,0.031679915,0.009128108,8.41E-05,0.964185187,0.11440742
10,91,0.038703193,0.003866482,0.005718948,8.27E-05,0.138468971,2.551729498,0.000205054,3.88E-05,0.000112552,0.003866482,0.029815314,0.009438587,7.69E-05,0.988999951,0.111303696
10,92,0.02183571,0.002640535,0.003671961,6.24E-05,0.021980306,2.385192349,0.000153121,2.36E-05,8.26E-05,0.002640535,0.018679062,0.009235064,7.90E-05,0.865530159,0.088455318
10,92,0.031471049,0.002775911,0.003659998,6.00E-05,0.191795111,2.363244728,0.000184407,2.38E-05,0.000102266,0.002775911,0.018240371,0.007969386,8.37E-05,0.810795213,0.120655638
10,92,0.021619857,0.00349139,0.004749687,5.04E-05,0.007115443,2.73763233,0.000181833,3.25E-05,8.71E-05,0.00349139,0.034114574,0.00999797,5.84E-05,1.010969647,0.107577769
10,93,0.0105786,0.001955958,0.002921161,4.54E-05,0.003813159,2.668116659,0.000130724,2.09E-05,5.77E-05,0.001955958,0.024950718,0.013284778,6.60E-05,0.800282222,0.092363932
10,93,0.007919338,0.00191498,0.00269643,4.91E-05,0.015179084,2.356111047,0.000117992,1.89E-05,6.52E-05,0.00191498,0.008301228,0.008533116,5.75E-05,0.720528388,0.111956909
10,93,0.05405383,0.026857332,0.059890903,0.000300624,0.198963394,2.805045127,0.003034323,0.000366927,0.000265756,0.026857332,0.029129855,0.005637279,0.000253246,1.117426701,0.114325527
10,93,0.050348529,0.028083071,0.064405197,0.000296168,0.037719766,3.067140537,0.003094979,0.000403672,0.000257408,0.028083071,0.028974426,0.006250605,0.00020472,1.27559694,0.100383634
